Practice,Urea,dynamic,ammonia,treatment,days,dynTREATday,Letter,number,LABEL
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,0,am.CT0.0,A,1,A1
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,1,am.CT0.1,A,11,A11
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,3,am.CT0.3,A,12,A12
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,5,am.CT0.5,A,13,A13
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,7,am.CT0.7,A,14,A14
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,14,am.CT0.14,A,15,A15
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,28,am.CT0.28,A,16,A16
Conventional,0 kg N ha-1,am,200 mg N kg-1,CT0,56,am.CT0.56,A,17,A17
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,0,un.CT0.0,B,1,B1
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,1,un.CT0.1,B,11,B11
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,3,un.CT0.3,B,12,B12
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,5,un.CT0.5,B,13,B13
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,7,un.CT0.7,B,14,B14
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,14,un.CT0.14,B,15,B15
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,28,un.CT0.28,B,16,B16
Conventional,0 kg N ha-1,un,0 mg N kg-1,CT0,56,un.CT0.56,B,17,B17
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,0,am.CT3.0,C,1,C1
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,1,am.CT3.1,C,11,C11
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,3,am.CT3.3,C,12,C12
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,5,am.CT3.5,C,13,C13
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,7,am.CT3.7,C,14,C14
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,14,am.CT3.14,C,15,C15
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,28,am.CT3.28,C,16,C16
Conventional,300 kg N ha-1,am,200 mg N kg-1,CT3,56,am.CT3.56,C,17,C17
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,0,un.CT3.0,D,1,D1
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,1,un.CT3.1,D,11,D11
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,3,un.CT3.3,D,12,D12
